Semana,Id,Tipo,Consigna,Enunciado,Respuesta,También se acepta,Opciones,OK (sí/no),Corrección,Comentario
1,a2-ort-01,choice,¿Cuál se pronuncia con sonido duro [k]?,___,chi,,chi | ci | ce,,,
1,a2-ort-03,choice,Elegí la palabra que significa «abuelo».,___,nonno,,nonno | nono | nonna,,,
1,a2-ort-04,choice,¿Dónde lleva acento gráfico?,___,città,,città | cittá | cìtta,,,
1,a2-ort-06,choice,¿Cómo suena «gli» en «figli»?,figli,"[ʎ], como la «ll» tradicional (no la rioplatense)",,"[ʎ], como la «ll» tradicional (no la rioplatense) | [gli] separado | [x] como la j española",,,
1,d07-001,conjugate,Completá con la forma correcta de essere en presente.,Loro ___ simpatici.,sono,,,,,
1,d07-002,conjugate,Completá con la forma correcta de essere en presente.,Tu ___ americana?,sei,,,,,
1,d07-003,conjugate,Completá con la forma correcta de essere en presente.,Voi ___ insegnanti?,siete,,,,,
1,d07-004,conjugate,Completá con la forma correcta de essere en presente.,Giulia e Chiara ___ cugine.,sono,,,,,
1,d07-005,conjugate,Completá con la forma correcta de essere en presente.,Io ___ felice.,sono,,,,,
1,d07-006,conjugate,Completá con la forma correcta de essere en presente.,I bambini ___ a casa.,sono,,,,,
1,d07-007,conjugate,Completá con la forma correcta de essere en presente.,Tu e Paola ___ amici.,siete,,,,,
1,d07-008,conjugate,Completá con la forma correcta de essere en presente.,Laura ___ molto giovane.,è,,,,,
1,d07-009,conjugate,Completá con la forma correcta de essere en presente.,Io ed Emilio ___ in campagna.,siamo,,,,,
1,d07-010,conjugate,Completá con la forma correcta de essere en presente.,Tu e loro ___ in montagna durante l’estate.,siete,,,,,
1,d07-011,conjugate,Completá con la forma correcta de avere en presente.,Luigi ___ un gatto che è vecchio vecchio.,ha,,,,,
1,d07-012,conjugate,Completá con la forma correcta de avere en presente.,Voi ___ una bellissima casa.,avete,,,,,
1,d07-014,conjugate,Completá con la forma correcta de avere en presente.,Io non ___ una macchina.,ho,,,,,
1,d07-015,conjugate,Completá con la forma correcta de avere en presente.,Tu ___ un amico che si chiama Leonardo?,hai,,,,,
1,d07-016,translate,Traducí al italiano usando avere.,Tengo hambre.,Ho fame.,Io ho fame.,,,,
1,d07-017,translate,Traducí al italiano usando avere.,Ella está equivocada.,Lei ha torto.,Ha torto.,,,,
1,d07-018,translate,Traducí al italiano usando avere.,Tienen sueño.,Hanno sonno.,Loro hanno sonno.,,,,
1,d07-019,translate,Traducí al italiano usando avere.,Él está apurado.,Ha fretta.,Lui ha fretta.,,,,
1,d07-020,translate,Traducí al italiano usando avere.,¿Ustedes tienen frío?,Avete freddo?,Voi avete freddo? | Hanno freddo? | Loro hanno freddo?,,,,
1,d07-021,translate,Traducí al italiano usando avere.,Paolo tiene calor.,Paolo ha caldo.,,,,,
1,d07-022,translate,Traducí al italiano usando avere.,Tengo miedo.,Ho paura.,Io ho paura.,,,,
1,d07-024,translate,Traducí al italiano usando avere.,Micia (la gata) tiene sed.,Micia ha sete.,,,,,
1,d07-025,translate,Traducí al italiano usando avere.,Él no tiene vergüenza.,Non ha vergogna.,Lui non ha vergogna.,,,,
1,d07-026,conjugate,"Completá con essere o avere, conjugado en presente.",Noi ___ studenti.,siamo,,,,,
1,d07-027,conjugate,"Completá con essere o avere, conjugado en presente.",Il bambino ___ fame.,ha,,,,,
1,d07-028,conjugate,"Completá con essere o avere, conjugado en presente.",Tu ___ torto!,hai,,,,,
1,d07-029,conjugate,"Completá con essere o avere, conjugado en presente.",Lei ___ simpatica.,è,,,,,
1,d07-030,conjugate,"Completá con essere o avere, conjugado en presente.",Io ___ freddo.,ho,,,,,
1,d07-031,conjugate,"Completá con essere o avere, conjugado en presente.",Loro ___ molto vecchi.,sono,,,,,
1,d07-032,conjugate,"Completá con essere o avere, conjugado en presente.",La maestra ___ intelligente.,è,,,,,
1,d07-033,conjugate,"Completá con essere o avere, conjugado en presente.",Io ___ voglia di mangiare. (tengo ganas),ho,,,,,
