Semana,Bloque,Título,Regla,Atención,Ejemplos,Tabla,OK (sí/no),Corrección,Comentario
1,1,Un alfabeto de 21 letras,"Sin *j, k, w, x, y* (salvo préstamos) ni *ñ*. La *h* no suena nunca. Las cinco vocales, limpias como en castellano.",,"il jazz, il weekend = préstamos: se escriben como en el original · ho / o = tengo / o: la h no suena · signore = señor: la ñ se escribe gn",,,,
1,2,c y g cambian según la vocal,"*c* y *g* son duras ante *a, o, u* y blandas ante *e, i*. La *h* las endurece; una *i* muda las ablanda.",,,"ca, co, cu / ka, ko, ku / casa, cosa, cubo · ce, ci / che, chi (como en «chico») / cena, cinema · che, chi / ke, ki / perché, chiave · cia, cio, ciu / cha, cho, chu / ciao, cioccolata · ga, go, gu / ga, go, gu / gatto, gonna · ge, gi / dy, como la j inglesa de «jeans» / gelato, giro · ghe, ghi / gue, gui / spaghetti, ghiaccio · gn / ñ / signore, bagno · gli / ll tradicional (no la rioplatense), casi «li» rápida / figlio, aglio · sce, sci / sh inglesa / pesce, sciare · z / ts o dz / grazie, zero",,,
1,3,Las dobles consonantes,Una consonante doble **dura más** y cambia la palabra: *nono* (noveno) no es *nonno* (abuelo).,"Es la falta más frecuente del hispanohablante: *bello*, *sorella*, *mamma*, *appartamento* se escriben con doble.",nono / nonno = noveno / abuelo · casa / cassa = casa / caja · pena / penna = pena / lapicera · sete / sette = sed / siete,,,,
1,4,El acento: dónde cae y cuándo se escribe,"La mayoría son llanas (*CA-sa*). La tilde solo se escribe si el acento cae en la última sílaba: *città*, *perché*, *caffè*.",,"città, caffè, però = tilde: acento al final · abitano, telefono, camera = esdrújulas sin tilde: Á-bitano, te-LÉ-fono · è / e = es / y",,,,
1,5,Detalles que se pegan rápido,"*qu* suena «cu». La *s* entre vocales suele ser sonora. La *r* simple es un toque; la *rr*, vibrante.",,"questo = «cuésto», nunca «késto» · rosa = s sonora, como una z inglesa · caro / carro = querido (r simple) / carro (rr vibrante)",,,,
1,6,"Siete vocales, no cinco","La *e* y la *o* acentuadas pueden ser **abiertas** (*è*, *ò*) o **cerradas** (*é*, *ó*). A veces cambian la palabra.","Ni *b* = *v* ni «e» delante de *s* + consonante: *vino* con v de labios y dientes, *scuola* y *studente*, nunca «escuola».",pèsca / pésca = durazno / pesca (de pescar) · è / e = es (abierta) / y · pòrta / sóle = puerta (o abierta) / sol (o cerrada),,,,
1,7,Tus dos primeros verbos: essere y avere,*essere* = ser y casi siempre «estar»; *avere* = tener. Son irregulares: se aprenden de memoria. El pronombre se suele omitir.,"*è* (es) lleva tilde; *e* (y), no. Y *ho, hai, ha, hanno* se leen «o, ai, a, anno».",Sono di Buenos Aires. = Soy de Buenos Aires. · Il caffè è caldo. = El café está caliente. · Ho vent'anni. = Tengo veinte años. · C'è un bar qui vicino? = ¿Hay un bar cerca de acá?,io / sono / ho · tu / sei / hai · lui / lei / è / ha · noi / siamo / abbiamo · voi / siete / avete · loro / sono / hanno,,,
2,1,El esquema básico,"*-o → -i* (masculino), *-a → -e* (femenino), *-e → -i* (**cualquiera de los dos**). El género de los en *-e* se aprende con la palabra.",,,-o / -i / masculino / libro → libri · -a / -e / femenino / casa → case · -e / -i / masc. o fem. / studente → studenti; chiave → chiavi,,,
2,2,"Plurales con h: -chi, -ghi","Para no ablandar *c* y *g*, muchos plurales agregan **h**: *amica → amiche*. Es ortografía: el sonido no cambia.","Excepciones llanas sin *h*: *amico → amici*, *greco → greci*, *nemico → nemici*.",,"-ca, -ga / -che, -ghe (siempre) / amica → amiche; riga → righe · -co, -go (llanas) / -chi, -ghi / banco → banchi; lago → laghi · -co, -go (esdrújulas) / -ci, -gi (salvo dialogo → dialoghi, carico → carichi) / medico → medici; biologo → biologi · -cia, -gia (vocal antes) / -cie, -gie / camicia → camicie; valigia → valigie · -cia, -gia (consonante antes) / -ce, -ge / arancia → arance; spiaggia → spiagge · -io (i átona) / -i / figlio → figli · -io (i tónica) / -ii / zio → zii",,,
2,3,Los que no cambian,"**Invariables**: terminados en consonante, en vocal con tilde, monosílabos y en *-i*. Solo cambia el artículo.",,il film → i film = consonante · la città → le città; il caffè → i caffè = vocal con tilde · il re → i re = monosílabo · la crisi → le crisi = en -i · Le città italiane sono belle. = Las ciudades italianas son lindas.,,,,
